00560,"Oil and grease, water, unfiltered, freon extraction, electrometric infrared, recoverable, milligrams per liter",Not checked,Oil and grease -- CWA 304B,mg/l,Recoverable,,,,,
00561,"Oil and grease, bed sediment, freon extraction, electrometric infrared, recoverable, dry weight, milligrams per kilogram",Not checked,Oil and grease -- CWA 304B,mg/kg,Bed Sediment,,,,Dry,
00572,"Biomass, periphyton, ash weight, grams per square meter",Not checked,"Biomass, periphyton",g/m2,,,,,Ash Weight,
00573,"Biomass, periphyton, dry weight, grams per square meter",Not checked,"Biomass, periphyton",g/m2,,,,,Dry,
00597,"Dissolved nitrogen gas, water, unfiltered, milligrams per liter",Not checked,Nitrogen,mg/l,Dissolved,,,,,
00598,"Dissolved nitrogen gas, water, unfiltered, percent of saturation",Not checked,Nitrogen,%,Dissolved,,,,,
00600,"Total nitrogen, water, unfiltered, milligrams per liter",Agree,"Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)",mg/l,Total,,,,,
00601,"Total nitrogen, suspended sediment, total, milligrams per liter",Not checked,"Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)",mg/l,Suspended,,,,,
00602,"Total nitrogen, water, filtered, milligrams per liter",Agree,"Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)",mg/l,Dissolved,,,,,
00603,"Total nitrogen, bed sediment, total, dry weight, milligrams per kilogram",Agree,"Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)",mg/kg,Bed Sediment,,,,Dry,
00604,"Ammonia, suspended sediment, total, milligrams per liter as nitrogen",Agree,Ammonia and ammonium,mg/l as N,Suspended,,,,,
00605,"Organic nitrogen, water, unfiltered, milligrams per liter",Agree,Organic nitrogen,mg/l,Total,,,,,
00606,"Organic nitrogen, suspended sediment, total, milligrams per liter",Agree,Organic nitrogen,mg/l,Suspended,,,,,
00607,"Organic nitrogen, water, filtered, milligrams per liter",Agree,Organic nitrogen,mg/l,Dissolved,,,,,
00608,"Ammonia, water, filtered, milligrams per liter as nitrogen",Agree,Ammonia and ammonium,mg/l as N,Dissolved,,,,,
00610,"Ammonia, water, unfiltered, milligrams per liter as nitrogen",Agree,Ammonia and ammonium,mg/l as N,Total,,,,,
00611,"Ammonia, bed sediment, total, dry weight, milligrams per kilogram as nitrogen",Agree,Ammonia and ammonium,mg/kg as N,Bed Sediment,,,,Dry,
00613,"Nitrite, water, filtered, milligrams per liter as nitrogen",Agree,Nitrite,mg/l as N,Dissolved,,,,,
00615,"Nitrite, water, unfiltered, milligrams per liter as nitrogen",Agree,Nitrite,mg/l as N,Total,,,,,
00616,"Nitrite, bed sediment, total, dry weight, milligrams per kilogram as nitrogen",Agree,Nitrite,mg/kg as N,Bed Sediment,,,,Dry,
00618,"Nitrate, water, filtered, milligrams per liter as nitrogen",Agree,Nitrate,mg/l as N,Dissolved,,,,,
00619,"Ammonia (un-ionized), water, unfiltered, calculated, milligrams per liter as nitrogen",Not checked,Ammonia,mg/l as N,Total,,,,,
00620,"Nitrate, water, unfiltered, milligrams per liter as nitrogen",Agree,Nitrate,mg/l as N,Total,,,,,
00621,"Nitrate, bed sediment, total, dry weight, milligrams per kilogram as nitrogen",Agree,Nitrate,mg/kg as N,Bed Sediment,,,,Dry,
00623,"Ammonia plus organic nitrogen, water, filtered, milligrams per liter as nitrogen",Agree,Kjeldahl nitrogen,mg/l as N,Dissolved,,,,,
00624,"Ammonia plus organic nitrogen, suspended sediment, total, milligrams per liter as nitrogen",Agree,Kjeldahl nitrogen,mg/l as N,Suspended,,,,,
00625,"Ammonia plus organic nitrogen, water, unfiltered, milligrams per liter as nitrogen",Agree,Kjeldahl nitrogen,mg/l as N,Total,,,,,
00626,"Ammonia plus organic nitrogen, bed sediment, total, dry weight, milligrams per kilogram as nitrogen",Not agree,Kjeldahl nitrogen,mg/kg as N,Bed Sediment,,,,Dry,
00628,"Nitrate plus nitrite, suspended sediment, total, milligrams per liter as nitrogen",Agree,Inorganic nitrogen (nitrate and nitrite),mg/l as N,Suspended,,,,,
00630,"Nitrate plus nitrite, water, unfiltered, milligrams per liter as nitrogen",Agree,Nitrate-nitrite,mg/l as N,Total,,,,,
00631,"Nitrate plus nitrite, water, filtered, milligrams per liter as nitrogen",Agree,Nitrate-nitrite,mg/l as N,Dissolved,,,,,
00633,"Nitrate plus nitrite, bed sediment, total, dry weight, milligrams per kilogram as nitrogen",Agree,Inorganic nitrogen (nitrate and nitrite),mg/kg as N,Bed Sediment,,,,Dry,
00635,"Ammonia plus organic nitrogen, water, unfiltered, milligrams per liter as nitrogen",Agree,Kjeldahl nitrogen,mg/l as N,Total,,,,,
00636,"Ammonia plus organic nitrogen, water, filtered, milligrams per liter as nitrogen",Agree,Kjeldahl nitrogen,mg/l as N,Dissolved,,,,,
00650,"Phosphate, water, unfiltered, milligrams per liter",Agree,Phosphate-phosphorus,mg/l,Total,,,,,
00653,"Phosphate, water, filtered, milligrams per liter",Agree,Phosphate-phosphorus,mg/l,Dissolved,,,,,
00660,"Orthophosphate, water, filtered, milligrams per liter",Not checked,Phosphate,mg/l,Dissolved,,,,,
00665,"Phosphorus, water, unfiltered, milligrams per liter as phosphorus",Agree,Phosphorus,mg/l,Total,,,,,
00666,"Phosphorus, water, filtered, milligrams per liter as phosphorus",Agree,Phosphorus,mg/l,Dissolved,,,,,
00667,"Phosphorus, suspended sediment, total, milligrams per liter as phosphorus",Agree,Phosphorus,mg/l,Suspended,,,,,
00668,"Phosphorus, bed sediment, total, dry weight, milligrams per kilogram as phosphorus",Agree,Phosphorus,mg/kg,Bed Sediment,,,,Dry,
00670,"Organic phosphorus, water, unfiltered, milligrams per liter as phosphorus",Agree,Organic phosphorus,mg/l,Total,,,,,
00671,"Orthophosphate, water, filtered, milligrams per liter as phosphorus",Agree,Phosphate,mg/l as P,Dissolved,,,,,
00673,"Organic phosphorus, water, filtered, milligrams per liter as phosphorus",Agree,Organic phosphorus,mg/l,Dissolved,,,,,
00674,"Orthophosphate, suspended sediment, total, milligrams per liter as phosphorus",Agree,Phosphate,mg/l as P,Suspended,,,,,
00676,"Organic phosphorus, suspended sediment, total, milligrams per liter as phosphorus",Agree,Organic phosphorus,mg/l,Suspended,,,,,
00680,"Organic carbon, water, unfiltered, milligrams per liter",Agree,Organic carbon,mg/l,Total,,,,,
00681,"Organic carbon, water, filtered, milligrams per liter",Agree,Organic carbon,mg/l,Dissolved,,,,,
00682,"Carbon (inorganic plus organic), water, filtered, milligrams per liter",Agree,Total Carbon,mg/l,Dissolved,,,,,
00683,"Organic carbon, suspended sediment, dry weight, milligrams per kilogram",Agree,Organic carbon,mg/kg,Suspended,,,,Dry,
00685,"Inorganic carbon, water, unfiltered, milligrams per liter",Agree,Inorganic carbon,mg/l,Total,,,,,
00686,"Inorganic carbon, bed sediment, total, dry weight, grams per kilogram",Agree,Inorganic carbon,g/kg,Bed Sediment,,,,Dry,
00687,"Organic carbon, bed sediment, total, dry weight, grams per kilogram",Agree,Organic carbon,g/kg,Bed Sediment,,,,Dry,
00688,"Inorganic carbon, suspended sediment, total, milligrams per liter",Agree,Inorganic carbon,mg/l,Suspended,,,,,
00689,"Organic carbon, suspended sediment, total, milligrams per liter",Agree,Organic carbon,mg/l,Suspended,,,,,
00690,"Carbon (inorganic plus organic), water, unfiltered, milligrams per liter",Agree,Total Carbon,mg/l,Total,,,,,
00691,"Inorganic carbon, water, filtered, milligrams per liter",Agree,Inorganic carbon,mg/l,Dissolved,,,,,
00692,"Immiscible organic carbon, water, unfiltered, milligrams per liter",Not checked,Organic carbon,mg/l,Total,,,,,
00693,"Carbon (inorganic plus organic), bed sediment, total, dry weight, grams per kilogram",Agree,Total Carbon,g/kg,Bed Sediment,,,,Dry,
00694,"Carbon (inorganic plus organic), suspended sediment, total, milligrams per liter",Agree,Total Carbon,mg/l,Suspended,,,,,
00697,"Acetic acid, water, unfiltered, recoverable, milligrams per liter",Agree,Acetic acid,mg/l,Recoverable,,,,,
00717,"Cyanide, weak acid, dissociable, water, filtered, micrograms per liter",Not checked,Cyanide,ug/l,Dissolved,,,,,
00720,"Cyanide, water, unfiltered, milligrams per liter",Agree,Cyanide,mg/l,Total,,,,,
00721,"Cyanide, bed sediment, total, dry weight, micrograms per gram",Not agree,Cyanide,ug/g,Bed Sediment,,,,Dry,
00722,"Cyanide, free, amenable to chlorination, water, unfiltered, milligrams per liter",Not checked,Cyanides amenable to chlorination (HCN & CN),mg/l,Total,,,,,
00723,"Cyanide, water, filtered, milligrams per liter",Not agree,Cyanide,mg/l,Dissolved,,,,,
00730,"Thiocyanate, water, unfiltered, milligrams per liter",Agree,Thiocyanate,mg/l,Total,,,,,
00731,"Thiocyanate, water, filtered, milligrams per liter",Agree,Thiocyanate,mg/l,Dissolved,,,,,
00737,"Thiosulfate, water, filtered, milligrams per liter",Agree,Thiosulfate,mg/l,Dissolved,,,,,
00740,"Sulfite, water, unfiltered, milligrams per liter",Not checked,Sulfite (SO3),mg/l,Total,,,,,
00745,"Sulfide, water, unfiltered, milligrams per liter",Agree,Sulfide,mg/l,Total,,,,,
00746,"Sulfide, water, filtered, milligrams per liter",Agree,Sulfide,mg/l,Dissolved,,,,,
00898,"Carbonate hardness, water, filtered, milligrams per liter as calcium carbonate",USGS use and no use by EPA,"Hardness, carbonate",mg/l CaCO3,Dissolved,,,,,
00900,"Hardness, water, milligrams per liter as calcium carbonate",Agree,Total hardness -- SDWA NPDWR,mg/l CaCO3,,,,,,
00901,"Carbonate hardness, water, unfiltered, milligrams per liter as calcium carbonate",Not checked,"Hardness, carbonate",mg/l CaCO3,Total,,,,,
00902,"Noncarbonate hardness, water, unfiltered, field, milligrams per liter as calcium carbonate",Not checked,"Hardness, non-carbonate",mg/l CaCO3,Total,,,,,
00903,"Noncarbonate hardness, water, unfiltered, lab, milligrams per liter as calcium carbonate",Not checked,"Hardness, non-carbonate",mg/l CaCO3,Total,,,,,
00904,"Noncarbonate hardness, water, filtered, field, milligrams per liter as calcium carbonate",Not checked,"Hardness, non-carbonate",mg/l CaCO3,Dissolved,,,,,
00905,"Noncarbonate hardness, water, filtered, lab, milligrams per liter as calcium carbonate",Not checked,"Hardness, non-carbonate",mg/l CaCO3,Dissolved,,,,,
00906,"Hardness, water, filtered, calculated, milligrams per liter as calcium carbonate",USGS use and no use by EPA,Total hardness -- SDWA NPDWR,mg/l CaCO3,Dissolved,,,,,
00907,"Hardness, water, unfiltered, calculated, milligrams per liter as calcium carbonate",USGS use and no use by EPA,Total hardness -- SDWA NPDWR,mg/l CaCO3,Total,,,,,
00908,"Hardness, water, filtered, measured, milligrams per liter as calcium carbonate",USGS use and no use by EPA,Total hardness -- SDWA NPDWR,mg/l CaCO3,Dissolved,,,,,
00909,"Hardness, water, unfiltered, measured, milligrams per liter as calcium carbonate",USGS use and no use by EPA,Total hardness -- SDWA NPDWR,mg/l CaCO3,Total,,,,,
00910,"Calcium, water, unfiltered, milligrams per liter as calcium carbonate",Not checked,Calcium,mg/l CaCO3,Total,,,,,
00915,"Calcium, water, filtered, milligrams per liter",Agree,Calcium,mg/l,Dissolved,,,,,
00916,"Calcium, water, unfiltered, recoverable, milligrams per liter",Not checked,Calcium,mg/l,Recoverable,,,,,
00917,"Calcium, bed sediment, recoverable, dry weight, milligrams per kilogram",Agree,Calcium,mg/kg,Bed Sediment,,,,Dry,
00918,"Calcium, water, unfiltered, recoverable, milligrams per liter",Agree,Calcium,mg/l,Recoverable,,,,,
00920,"Magnesium, water, unfiltered, milligrams per liter as calcium carbonate",Not checked,Magnesium,mg/l CaCO3,Total,,,,,
00921,"Magnesium, water, unfiltered, recoverable, milligrams per liter",Agree,Magnesium,mg/l,Recoverable,,,,,
